DATE,LBSSA36
1976-01-01,58.0666666666666667
1977-01-01,58.3666666666666667
1978-01-01,59.2250000000000000
1979-01-01,60.2083333333333333
1980-01-01,59.9333333333333333
1981-01-01,59.8250000000000000
1982-01-01,59.3916666666666667
1983-01-01,59.4833333333333333
1984-01-01,59.4666666666666667
1985-01-01,60.6416666666666667
1986-01-01,61.4500000000000000
1987-01-01,61.6416666666666667
1988-01-01,61.9500000000000000
1989-01-01,62.8916666666666667
1990-01-01,62.7166666666666667
1991-01-01,62.0333333333333333
1992-01-01,61.9833333333333333
1993-01-01,61.6916666666666667
1994-01-01,61.2666666666666667
1995-01-01,61.0583333333333333
1996-01-01,61.7750000000000000
1997-01-01,63.1500000000000000
1998-01-01,63.0833333333333333
1999-01-01,62.9750000000000000
2000-01-01,62.8416666666666667
2001-01-01,62.3166666666666667
2002-01-01,63.0833333333333333
2003-01-01,62.6083333333333333
2004-01-01,62.7083333333333333
2005-01-01,63.0166666666666667
2006-01-01,63.0583333333333333
2007-01-01,62.6083333333333333
2008-01-01,63.1333333333333333
2009-01-01,62.9583333333333333
2010-01-01,62.6000000000000000
2011-01-01,61.6333333333333333
2012-01-01,61.7000000000000000
2013-01-01,61.6166666666666667
2014-01-01,60.7250000000000000
2015-01-01,60.6750000000000000
2016-01-01,60.5833333333333333
2017-01-01,60.8166666666666667
2018-01-01,60.5833333333333333
2019-01-01,60.7166666666666667
2020-01-01,59.0250000000000000
2021-01-01,59.4500000000000000
2022-01-01,60.2250000000000000
2023-01-01,.
