DATE,LBSSA53
1976-01-01,61.3916666666666667
1977-01-01,62.7416666666666667
1978-01-01,64.1000000000000000
1979-01-01,65.3416666666666667
1980-01-01,64.4833333333333333
1981-01-01,64.3083333333333333
1982-01-01,64.0833333333333333
1983-01-01,64.2916666666666667
1984-01-01,64.3833333333333333
1985-01-01,64.6666666666666667
1986-01-01,65.6333333333333333
1987-01-01,66.5250000000000000
1988-01-01,67.1416666666666667
1989-01-01,68.8500000000000000
1990-01-01,68.6083333333333333
1991-01-01,68.0250000000000000
1992-01-01,68.5833333333333333
1993-01-01,68.3000000000000000
1994-01-01,67.9166666666666667
1995-01-01,68.0750000000000000
1996-01-01,69.0083333333333333
1997-01-01,69.5166666666666667
1998-01-01,69.7416666666666667
1999-01-01,69.4750000000000000
2000-01-01,69.1333333333333333
2001-01-01,68.0583333333333333
2002-01-01,67.4083333333333333
2003-01-01,67.2833333333333333
2004-01-01,67.3166666666666667
2005-01-01,67.6666666666666667
2006-01-01,67.7416666666666667
2007-01-01,67.9666666666666667
2008-01-01,68.2750000000000000
2009-01-01,66.9500000000000000
2010-01-01,65.9000000000000000
2011-01-01,64.7416666666666667
2012-01-01,64.4500000000000000
2013-01-01,63.6000000000000000
2014-01-01,63.2666666666666667
2015-01-01,63.2666666666666667
2016-01-01,63.6666666666666667
2017-01-01,63.7000000000000000
2018-01-01,64.1666666666666667
2019-01-01,65.2416666666666667
2020-01-01,64.3166666666666667
2021-01-01,63.2416666666666667
2022-01-01,64.0833333333333333
2023-01-01,.
