DATE,LBSSA24
1976-01-01,64.2833333333333333
1977-01-01,64.9916666666666667
1978-01-01,66.6083333333333333
1979-01-01,67.7000000000000000
1980-01-01,68.1166666666666667
1981-01-01,67.8416666666666667
1982-01-01,67.6083333333333333
1983-01-01,67.9583333333333333
1984-01-01,68.3750000000000000
1985-01-01,68.2333333333333333
1986-01-01,69.3333333333333333
1987-01-01,69.7916666666666667
1988-01-01,70.0000000000000000
1989-01-01,70.5333333333333333
1990-01-01,69.7500000000000000
1991-01-01,70.3500000000000000
1992-01-01,70.9333333333333333
1993-01-01,70.6750000000000000
1994-01-01,70.8750000000000000
1995-01-01,70.9916666666666667
1996-01-01,71.2166666666666667
1997-01-01,71.2666666666666667
1998-01-01,70.5083333333333333
1999-01-01,70.0750000000000000
2000-01-01,70.1416666666666667
2001-01-01,70.0250000000000000
2002-01-01,69.9416666666666667
2003-01-01,69.2833333333333333
2004-01-01,68.5750000000000000
2005-01-01,68.9166666666666667
2006-01-01,69.4916666666666667
2007-01-01,69.1166666666666667
2008-01-01,69.5000000000000000
2009-01-01,69.3666666666666667
2010-01-01,68.6000000000000000
2011-01-01,68.0083333333333333
2012-01-01,67.8333333333333333
2013-01-01,67.4583333333333333
2014-01-01,66.9000000000000000
2015-01-01,66.8333333333333333
2016-01-01,66.9250000000000000
2017-01-01,67.6000000000000000
2018-01-01,67.8000000000000000
2019-01-01,68.8083333333333333
2020-01-01,66.5083333333333333
2021-01-01,64.9666666666666667
2022-01-01,64.8833333333333333
2023-01-01,.
